# Helyesírási kivételek — az adatbázis verziókövetett magja.
# Újraépítés:  python dict/db.py import
word	lang	reason	origin	times_seen	note
Avoidance	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Balanced	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Case	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Changelog	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
Codexhez	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
Copula	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Curly	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Cursorhoz	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
Humanizer	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
Indicators	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Install	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
Key	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Language	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
License	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
Name	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Objectives	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Patterns	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
Person	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
PowerShell	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
Results	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Scorecard	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Title	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
Windsurfnál	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
agent	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
agentek	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
build	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
cache	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
close	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
commit	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
commitolunk	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
cons	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
drift	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
emoji	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
emojik	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
emojikkal	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
emojis	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
fallback	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
frontmatter	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
inflation	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
instructions	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
keynote	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
markdown	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
mixing	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
networking	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
npx	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
pass	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
project	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
prompt	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
promptolás	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
pros	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
pull	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
quote	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
quotes	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
repetition	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
repo	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
request	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
requestet	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
rule	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
rules	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
scoped	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
script	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
significance	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
skill	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
skillek	hu_HU	idegen	seed	0	angol szakkifejezések, amik magyar szövegben is megjelennek
slop	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
third	hu_HU	idegen	seed	0	a mintapéldákban szereplő angol kifejezések és nevek
workspace	hu_HU	idegen	seed	0	további angol szakszavak a dokumentációban
API	hu_HU	magyar-hianyzo	seed	0	magyar szakszavak, amiket a hunspell nem ismer
